Timestamp,Participant Number,Thinking aloud has helped me complete the tasks.,Thinking aloud has not impacted my performance in these tasks.,Thinking aloud has improved my performance in these tasks.,Thinking aloud has improved my ability to think critically about my decisions during these tasks.,Thinking aloud has not influenced my thought process while solving these tasks.,Thinking aloud has made me more confident about my decisions during these tasks.,Thinking aloud has distracted me from the tasks.,Reliable,Competent,Knowledgeable,Interactive,Responsive,Capable,Organic,Sociable,Emotional,Compassionate,Happy,Feeling,Awkward,Scary,Strange,Awful,Dangerous,Aggressive,The robot was listening carefully.,The robot’s behavior was natural.,The robot cared about what I was saying.,The robot did not care about what I was saying.,The robot was not listening to me.,The robot understood what I was saying.,I felt a close connection with the robot.,Talking with the robot was similar to talking with a friend.,Talking with the robot was similar to talking with a stranger.,Talking with the robot was comforting.,What was it like to speak with the robot? Describe positive and negative aspects of the robot’s behavior.,"Have you ever used, or are you currently using robots at home or at work/study?","If you have any more comments or observations, please write them down here:",Would you like to get notified via email whenever we run other studies?,condition,order,gender,ta_impact,listening_behavior,closeness,competence,warmth,discomfort
5/3/2022 9:57:48,4.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,6.0,4.0,5.0,6.0,3.0,4.0,6.0,4.0,6.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,It was helpful to speak my thoughts in the first task as it helped to refine my thoughts but it felt like a hurdle which slowed me down during the second task.  Sometimes the robot kept saying things like aha or so which sometimes distracted me. But it was nice to describe it to someone as it well responsive to my speech.,No,,Yes,naive,1.0,Male,3.2,2.75,2.3333333333333335,4.333333333333333,4.666666666666667,2.8333333333333335
5/3/2022 10:51:08,5.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,"It felt good in a way that you where talking to something that listen to you but I think that the robot should speak more, Interact more and that it should react more to my answers so that it would be more like if I was talking to a real person and not just a robot.",No,,No,naive,1.0,Male,2.2,2.75,2.6666666666666665,1.8333333333333333,2.1666666666666665,1.0
5/3/2022 14:34:23,8.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,9.0,9.0,3.0,3.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,The robot didn't respond to my thoughts. I wasn't very interactive. But the design made it look cool and a bit human-like.,Yes,,Yes,naive,1.0,Male,5.0,2.0,2.0,2.1666666666666665,1.3333333333333333,5.166666666666667
5/3/2022 16:04:44,9.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,7.0,6.0,4.0,5.0,4.0,5.0,2.0,7.0,3.0,6.0,7.0,1.0,6.0,3.0,8.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,"The sounds meant to make it seem like it was responding/paying attention would interrupt me mid sentence, which broke immersion. The voice was obviously robotic, but soothing. It worked well for giving the instructions. I felt more aware of the camera and recording than of the robot and mostly tuned it out. It might actually be more helpful to talk to something totally inanimate, that doesn't respond. With the robot I was never sure when or how it would react.",No,It felt like I was focusing a lot on detailing all the thoughts I had out loud instead of only talking out loud during a particularly tricky spot. And normally I would use a pen and paper for some of the problems. So in these two ways my behavior during the study was likely different from natural rubberducking. ,Yes,naive,1.0,Female,2.6,1.75,2.5,5.166666666666667,4.333333333333333,3.5
5/3/2022 16:44:16,10.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,7.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,It accompanies you but he seems not understanding me.,No,,Yes,naive,1.0,Female,2.6,3.5,2.8333333333333335,5.833333333333333,6.0,2.5
5/3/2022 17:17:21,11.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,6.0,6.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,It felt like I was not speaking with someone but to them. There was little acknowledgement of things I said which made it a one way discussion. It felt like the effort of speaking for the robot slowed down my progress as my train of thought wanted to run faster than I was managing to speak. Had the robot been an actual person I would have been even slower as I would have taken more time to make sure my words were being understood.,Yes,,Yes,naive,1.0,Female,1.4,3.0,2.0,4.0,1.6666666666666667,1.0
5/3/2022 17:55:23,12.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,8.0,3.0,2.0,3.0,3.0,7.0,6.0,8.0,6.0,8.0,5.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,I think I mostly ignored the robots presence focusing more on my task and my own thoughts. Sometimes it was hard to phrase my thoughts correctly which distracted me from the task a bit. But on the other hand I really felt s connection to the robot and it felt comforting to have hi  in the room. I think that talking aloud to the robot ot made the problem of solving the task more enjoyable and made me feel more secure with myself. ,Yes,,Yes,naive,1.0,Male,3.6,3.0,3.3333333333333335,4.333333333333333,6.833333333333333,1.1666666666666667
5/4/2022 13:46:23,13.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,5.0,6.0,7.0,4.0,3.0,6.0,3.0,6.0,5.0,4.0,9.0,6.0,9.0,4.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,4.0,3.0,It was weird. The only responses he gave were agreeing to my thoughts even so sometimes it didn't make any sense.,No,,No,naive,0.0,Male,1.2,3.0,1.6666666666666667,4.833333333333333,4.5,5.0
5/4/2022 17:52:25,14.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,7.0,7.0,5.0,3.0,6.0,6.0,8.0,5.0,3.0,3.0,4.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,Positive ,Yes,,Yes,naive,0.0,Male,3.6,4.5,3.3333333333333335,5.666666666666667,4.833333333333333,1.8333333333333333
5/4/2022 18:27:29,15.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,Calm and stable and confident,No,,Yes,naive,0.0,Male,3.4,3.25,3.6666666666666665,6.333333333333333,5.5,2.6666666666666665
